address,planned_area_id
Heerdestraße 21,1
Coerdestraße 5,1
Coerdestraße 3,1
Rudolf-von-Langen-Straße 18,1
Coerdestraße 3c,1
Coerdestraße 3f,1
Lublinring 6,1
Rjasanstraße 3a,1
Lublinring 10a,1
Wermelingstraße 9,1
Rjasanstraße 1,1
Finkenstraße 28,1
Studtstraße 39,1
Studtstraße 33,1
Raesfeldstraße 37,1
Finkenstraße 23,1
Studtstraße 51,1
Wienburgstraße 9,1
Wienburgstraße 11,1
Breul 21,1
Breul 22a,1
Breul 21b,1
Breul 17,1
Breul 27,1
Breul 10,1
Breul 10a,1
Tibusstraße 20,1
Tibusstraße 19,1
Gertrudenstraße 7,1
Gertrudenstraße 11,1
Grevener Straße 72,1
Grevener Straße 74,1
Grevener Straße 78,1
Kinderhauser Straße 31a,1
Tibusstraße 18,1
Kettelerstraße 19,1
Kettelerstraße 21,1
Kettelerstraße 17,1
Coerdestraße 56,1
Coerdestraße 54,1
Coerdestraße 56a,1
Hedwigstraße 8,1
Lotharingerstraße 8,1
Melchersstraße 10,1
Coerdestraße 25,1
Schlossplatz 17,1
Nordstraße 25,1
Nordstraße 28,1
Nordstraße 32,1
Nordstraße 34,1
Nordstraße 31,1
Nordstraße 36,1
Nordstraße 39,1
Nordstraße 41,1
Nordstraße 43,1
Nordstraße 38,1
Nordstraße 19,1
Studtstraße 62,1
Studtstraße 64,1
Görresstraße 3a,1
Görresstraße 5,1
Görresstraße 13,1
Görresstraße 47,1
Görresstraße 52,1
Rudolf-von-Langen-Straße 39,1
Neubrückenstraße 34,1
Breul 16c,1
Maximilianstraße 57,1
Maximilianstraße 53,1
Maximilianstraße 51,1
Coerdeplatz 18a,1
Tibusstraße 3,1
Tibusstraße 7,1
Tibusstraße 9,1
Tibusstraße 11,1
Mauritzstraße 7,1
Mauritzstraße 24,1
Lotharingerstraße 6,1
Hörsterstraße 28,1
Studtstraße 14,1
Studtstraße 10,1
Studtstraße 12,1
Studtstraße 16,1
Studtstraße 10a,1
Altumstraße 5,1
Altumstraße 16,1
Altumstraße 14,1
Hoyastraße 23a,1
Hoyastraße 5,1
Hoyastraße 2a,1
Hoyastraße 1,1
Nordstraße 22,1
Hoyastraße 1a,1
Hoyastraße 4,1
Coerdestraße 36a,1
Coerdestraße 36,1
Schulstraße 44,1
Breul 16b,1
Studtstraße 52,1
Gertrudenstraße 15,1
Rudolf-von-Langen-Straße 41,1
Kleimannstraße 1,1
Cheruskerring 80,1
Cheruskerring 82,1
Cheruskerring 80a,1
Cheruskerring 80c,1
Kerßenbrockstraße 24,1
Kerßenbrockstraße 26,1
Wichernstraße 46,1
Cheruskerring 68a,1
Cheruskerring 68b,1
Cheruskerring 68,1
Langemarckstraße 10,1
Langemarckstraße 12,1
Langemarckstraße 9,1
Langemarckstraße 11,1
Kettelerstraße 39a,1
Kettelerstraße 43,1
Wermelingstraße 25a,1
Coerdeplatz 4,1
Cheruskerring 45,1
Cheruskerring 47,1
Gartenstraße 65,1
Gartenstraße 67,1
